REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PHARMACEUTICAL,Pharmaceutical,TIME_PERIOD,OBS_VALUE
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2013,12.4
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2014,13
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2015,13.3
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2016,13.7
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2017,12.9
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2018,14
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2019,14.5
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2020,15.6
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2021,15.6
NZL,New Zealand,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",R03,Drugs for obstructive airway diseases,2022,18.3
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2013,5.8
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2014,5.6
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2015,5.4
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2016,5.2
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2017,5
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2018,5
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2019,4.8
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2020,4.7
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2021,4.5
GBR,United Kingdom,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily doses per 1 000 inhabitants per day,N05B,Anxiolytics,2022,3.7
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2013,10.6
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2014,11.3
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2015,11.1
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2016,11.5
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2017,12.1
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2018,12.8
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2019,13.1
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2020,12.7
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2021,12.1
DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",H,"Systemic hormonal preparations, excluding sex hormones and insulins",2022,10.5
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2013,8.7
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2014,8.2
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2015,7.2
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2016,6.2
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2017,6
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2018,6
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2019,5.9
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2020,5.6
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2021,5.3
HUN,Hungary,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",N06A,Antidepressants,2022,5.3
CRI,Costa Rica,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",C07,Beta blocking agents,2013,0.4
